month,credit_card_complaint_count,total_complaint_count,credit_card_share_pct
2011-12,1260,2536,49.6845
2012-01,1167,3230,36.13
2012-02,1212,3509,34.5398
2012-03,1378,6230,22.1188
2012-04,1173,5703,20.5681
2012-05,1468,7616,19.2752
2012-06,1699,7841,21.6682
2012-07,1505,6755,22.2798
2012-08,1281,6877,18.6273
2012-09,994,5493,18.0958
2012-10,1358,6741,20.1454
2012-11,1086,6139,17.6902
2012-12,1032,6238,16.5438
2013-01,1162,9741,11.929
2013-02,1142,8349,13.6783
2013-03,1280,8784,14.5719
2013-04,1216,8632,14.0871
2013-05,1072,8170,13.1212
2013-06,1022,8035,12.7194
2013-07,1036,9270,11.1758
2013-08,1076,9565,11.2493
2013-09,1085,9636,11.2599
2013-10,1062,9241,11.4923
2013-11,950,9318,10.1953
2013-12,1002,9474,10.5763
2014-01,1190,12617,9.4317
2014-02,1237,13048,9.4804
2014-03,1263,13942,9.059
2014-04,1297,13838,9.3727
2014-05,1101,12163,9.052
2014-06,1070,12512,8.5518
2014-07,1159,13406,8.6454
2014-08,1229,13182,9.3233
2014-09,1173,12461,9.4134
2014-10,1094,12897,8.4826
2014-11,1058,11255,9.4003
2014-12,1103,11680,9.4435
2015-01,1142,12625,9.0455
2015-02,1392,12679,10.9788
2015-03,1461,14508,10.0703
2015-04,1403,13747,10.2059
2015-05,1456,13678,10.6448
2015-06,1445,14515,9.9552
2015-07,1535,15914,9.6456
2015-08,1514,15763,9.6048
2015-09,1520,14331,10.6064
2015-10,1530,14891,10.2747
2015-11,1443,12894,11.1913
2015-12,1459,12884,11.3241
2016-01,1571,13836,11.3544
2016-02,1563,14139,11.0545
2016-03,1620,16610,9.7532
2016-04,1584,15604,10.1512
2016-05,1573,15515,10.1386
2016-06,1566,16059,9.7515
2016-07,1760,16040,10.9726
2016-08,2021,17689,11.4252
2016-09,2188,17567,12.4552
2016-10,2064,17806,11.5916
2016-11,1731,15201,11.3874
2016-12,1823,15335,11.8878
2017-01,1892,21001,9.0091
2017-02,1829,18096,10.1072
2017-03,2086,19752,10.561
2017-04,1787,18538,9.6397
2017-05,1951,19283,10.1177
2017-06,1807,18549,9.7418
2017-07,1835,20425,8.9841
2017-08,1901,21394,8.8857
2017-09,1872,27343,6.8464
2017-10,1882,20447,9.2043
2017-11,1854,18985,9.7656
2017-12,1838,19027,9.66
2018-01,2140,23641,9.0521
2018-02,1936,21965,8.814
2018-03,2130,23628,9.0147
2018-04,2328,24316,9.5739
2018-05,2128,22327,9.5311
2018-06,1868,20103,9.2921
2018-07,1986,20952,9.4788
2018-08,2128,21715,9.7997
2018-09,1819,19068,9.5395
2018-10,2129,21890,9.7259
2018-11,1833,19047,9.6236
2018-12,1818,18546,9.8027
2019-01,1905,18927,10.065
2019-02,1889,20197,9.3529
2019-03,2225,23401,9.5081
2019-04,2150,22909,9.385
2019-05,2141,23845,8.9788
2019-06,2154,23345,9.2268
2019-07,2234,25077,8.9086
2019-08,2310,26053,8.8665
2019-09,2138,23565,9.0728
2019-10,2357,25627,9.1973
2019-11,2177,22643,9.6145
2019-12,2148,21698,9.8995
2020-01,2401,26400,9.0947
2020-02,2301,25085,9.1728
2020-03,2433,29484,8.2519
2020-04,3171,34798,9.1126
2020-05,3161,36991,8.5453
2020-06,3125,37897,8.246
2020-07,3057,40652,7.5199
2020-08,2943,39190,7.5096
2020-09,2856,39882,7.1611
2020-10,2879,43979,6.5463
2020-11,2679,41543,6.4487
2020-12,2875,48383,5.9422
2021-01,2792,42483,6.572
2021-02,2740,33271,8.2354
2021-03,3086,41174,7.495
2021-04,2558,39670,6.4482
2021-05,2368,41312,5.732
2021-06,2310,45734,5.0509
2021-07,2522,45077,5.5949
2021-08,2526,42589,5.9311
2021-09,2585,40375,6.4025
2021-10,2880,39299,7.3284
2021-11,2731,39072,6.9897
2021-12,2725,45929,5.9331
2022-01,3117,53231,5.8556
2022-02,3189,53194,5.995
2022-03,3342,61903,5.3988
2022-04,3252,72247,4.5012
2022-05,2638,60386,4.3686
2022-06,3060,61885,4.9447
2022-07,3381,64455,5.2455
2022-08,3752,69262,5.4171
2022-09,3542,65786,5.3841
2022-10,3551,75793,4.6851
2022-11,3331,77041,4.3237
2022-12,3726,85150,4.3758
2023-01,4353,93935,4.6341
2023-02,3961,86540,4.5771
2023-03,4533,110643,4.097
2023-04,3797,97087,3.9109
2023-05,4232,106216,3.9843
2023-06,4650,104427,4.4529
2023-07,5253,106776,4.9196
2023-08,5747,119712,4.8007
2023-09,4918,112887,4.3566
2023-10,5811,117430,4.9485
2023-11,5153,113370,4.5453
2023-12,4776,123071,3.8807
2024-01,5248,143378,3.6603
2024-02,5182,157626,3.2875
2024-03,5892,178262,3.3052
2024-04,6678,191598,3.4854
2024-05,6770,212246,3.1897
2024-06,5540,204773,2.7054
2024-07,6200,233175,2.6589
2024-08,7365,264069,2.789
2024-09,7192,265131,2.7126
2024-10,7177,295981,2.4248
2024-11,6098,287246,2.1229
2024-12,6703,304183,2.2036
2025-01,9073,475806,1.9069
2025-02,6213,335249,1.8532
2025-03,6255,396989,1.5756
2025-04,6897,406139,1.6982
2025-05,7515,415220,1.8099
2025-06,7365,412205,1.7867
2025-07,8107,473234,1.7131
2025-08,7919,495625,1.5978
2025-09,8506,503919,1.688
2025-10,7641,560060,1.3643
2025-11,7090,541117,1.3103
2025-12,8003,579003,1.3822
2026-01,9537,617103,1.5454
2026-02,3050,388248,0.7856
