month,credit_card_complaint_count,total_complaint_count,credit_card_share_pct
2012-01,411,1137,36.1478
2012-02,416,1223,34.0147
2012-03,470,2137,21.9934
2012-04,420,2064,20.3488
2012-05,456,2610,17.4713
2012-06,602,3004,20.0399
2012-07,479,2242,21.3649
2012-08,445,2424,18.3581
2012-09,367,1997,18.3776
2012-10,496,2474,20.0485
2012-11,397,2264,17.5353
2012-12,370,2198,16.8335
2013-01,388,3589,10.8108
2013-02,356,3044,11.6951
2013-03,433,3206,13.5059
2013-04,445,3306,13.4604
2013-05,412,3083,13.3636
2013-06,368,3121,11.7911
2013-07,375,3532,10.6172
2013-08,366,3630,10.0826
2013-09,368,3786,9.72
2013-10,424,3694,11.4781
2013-11,306,3524,8.6833
2013-12,346,3672,9.4227
2014-01,414,5104,8.1113
2014-02,435,5119,8.4978
2014-03,428,5417,7.9011
2014-04,407,5405,7.5301
2014-05,396,4792,8.2638
2014-06,382,5169,7.3902
2014-07,433,5468,7.9188
2014-08,457,5444,8.3946
2014-09,389,4986,7.8018
2014-10,354,5172,6.8445
2014-11,376,4668,8.0548
2014-12,412,4830,8.53
2015-01,341,5137,6.6381
2015-02,521,4995,10.4304
2015-03,474,5770,8.2149
2015-04,511,5526,9.2472
2015-05,525,5530,9.4937
2015-06,536,5867,9.1358
2015-07,534,6514,8.1977
2015-08,543,6260,8.6741
2015-09,524,5673,9.2367
2015-10,554,5979,9.2658
2015-11,489,5078,9.6298
2015-12,522,5174,10.0889
2016-01,523,5615,9.3143
2016-02,527,5758,9.1525
2016-03,603,6738,8.9492
2016-04,525,6250,8.4
2016-05,542,6290,8.6169
2016-06,552,6658,8.2908
2016-07,626,6515,9.6086
2016-08,737,7269,10.1389
2016-09,751,7124,10.5418
2016-10,704,7282,9.6677
2016-11,578,6092,9.4879
2016-12,641,6465,9.9149
2017-01,652,8629,7.5559
2017-02,639,7620,8.3858
2017-03,709,8233,8.6117
2017-04,645,8414,7.6658
2017-05,684,8743,7.8234
2017-06,652,8346,7.8121
2017-07,672,9398,7.1505
2017-08,698,9493,7.3528
2017-09,649,10453,6.2087
2017-10,638,8934,7.1413
2017-11,670,8488,7.8935
2017-12,593,8309,7.1368
2018-01,706,10497,6.7257
2018-02,685,9667,7.086
2018-03,688,9987,6.889
2018-04,798,10575,7.5461
2018-05,691,9583,7.2107
2018-06,621,8782,7.0713
2018-07,697,9473,7.3578
2018-08,729,9476,7.6931
2018-09,621,8676,7.1577
2018-10,738,9530,7.744
2018-11,657,8362,7.857
2018-12,611,7985,7.6518
2019-01,653,8497,7.6851
2019-02,644,8997,7.1579
2019-03,753,10295,7.3142
2019-04,765,10304,7.4243
2019-05,779,10657,7.3097
2019-06,714,10610,6.7295
2019-07,716,11476,6.2391
2019-08,763,11403,6.6912
2019-09,709,10903,6.5028
2019-10,780,11433,6.8224
2019-11,751,10506,7.1483
2019-12,728,9751,7.4659
2020-01,837,12160,6.8832
2020-02,860,11443,7.5155
2020-03,854,14020,6.0913
2020-04,1102,17502,6.2964
2020-05,1133,18826,6.0183
2020-06,1080,19835,5.4449
2020-07,1073,21526,4.9847
2020-08,1034,19926,5.1892
2020-09,961,20304,4.7331
2020-10,951,22380,4.2493
2020-11,840,20701,4.0578
2020-12,850,22969,3.7006
2021-01,863,20537,4.2022
2021-02,860,14948,5.7533
2021-03,1043,18828,5.5396
2021-04,879,19264,4.5629
2021-05,885,20617,4.2926
2021-06,809,22817,3.5456
2021-07,874,22598,3.8676
2021-08,907,21530,4.2127
2021-09,881,20366,4.3258
2021-10,1069,19297,5.5397
2021-11,1062,19325,5.4955
2021-12,959,23538,4.0743
2022-01,1147,27461,4.1768
2022-02,1173,26669,4.3984
2022-03,1225,32032,3.8243
2022-04,1234,38818,3.1789
2022-05,972,32420,2.9981
2022-06,1119,32244,3.4704
2022-07,1289,33915,3.8007
2022-08,1440,35778,4.0248
2022-09,1378,33480,4.1159
2022-10,1404,39231,3.5788
2022-11,1295,40873,3.1684
2022-12,1335,44283,3.0147
2023-01,1665,48244,3.4512
2023-02,1410,44592,3.162
2023-03,1692,57269,2.9545
2023-04,1401,50988,2.7477
2023-05,1565,56118,2.7888
2023-06,1782,56028,3.1806
2023-07,2078,57420,3.6189
2023-08,2253,62790,3.5882
2023-09,1952,59030,3.3068
2023-10,2128,60449,3.5203
2023-11,1962,58934,3.3291
2023-12,1862,63208,2.9458
2024-01,2023,73321,2.7591
2024-02,2055,80723,2.5457
2024-03,2386,92373,2.583
2024-04,2834,100787,2.8119
2024-05,3040,112557,2.7009
2024-06,2540,109903,2.3111
2024-07,2896,123365,2.3475
2024-08,3466,140101,2.4739
2024-09,3424,143145,2.392
2024-10,3420,161510,2.1175
2024-11,2769,155968,1.7754
2024-12,3024,166762,1.8134
2025-01,4470,266400,1.6779
2025-02,2678,185266,1.4455
2025-03,2632,222284,1.1841
2025-04,3121,231495,1.3482
2025-05,3403,239332,1.4219
2025-06,3414,241726,1.4123
2025-07,3893,277397,1.4034
2025-08,3789,291068,1.3018
2025-09,3992,296836,1.3449
2025-10,3623,335098,1.0812
2025-11,2996,322188,0.9299
2025-12,3209,341452,0.9398
