month,credit_reporting_complaint_count,total_complaint_count,credit_reporting_share_pct
2011-12,0,2536,0.0
2012-01,0,3230,0.0
2012-02,0,3509,0.0
2012-03,0,6230,0.0
2012-04,0,5703,0.0
2012-05,0,7616,0.0
2012-06,0,7841,0.0
2012-07,0,6755,0.0
2012-08,0,6877,0.0
2012-09,0,5493,0.0
2012-10,360,6741,5.3405
2012-11,782,6139,12.7382
2012-12,731,6238,11.7185
2013-01,911,9741,9.3522
2013-02,1065,8349,12.756
2013-03,1098,8784,12.5
2013-04,1151,8632,13.3341
2013-05,1207,8170,14.7736
2013-06,1112,8035,13.8395
2013-07,1249,9270,13.4736
2013-08,1253,9565,13.0998
2013-09,1447,9636,15.0166
2013-10,1290,9241,13.9595
2013-11,1300,9318,13.9515
2013-12,1297,9474,13.6901
2014-01,2357,12617,18.6811
2014-02,2538,13048,19.4513
2014-03,2589,13942,18.5698
2014-04,2549,13838,18.4203
2014-05,2300,12163,18.9098
2014-06,2465,12512,19.7011
2014-07,2659,13406,19.8344
2014-08,2668,13182,20.2397
2014-09,2482,12461,19.9181
2014-10,2262,12897,17.539
2014-11,2179,11255,19.3603
2014-12,2190,11680,18.75
2015-01,2676,12625,21.196
2015-02,2382,12679,18.787
2015-03,2827,14508,19.4858
2015-04,2688,13747,19.5534
2015-05,2656,13678,19.418
2015-06,2709,14515,18.6635
2015-07,3687,15914,23.1683
2015-08,3429,15763,21.7535
2015-09,2889,14331,20.1591
2015-10,2809,14891,18.8637
2015-11,2842,12894,22.0413
2015-12,2678,12884,20.7855
2016-01,2758,13836,19.9335
2016-02,3039,14139,21.4937
2016-03,4042,16610,24.3347
2016-04,3765,15604,24.1284
2016-05,3825,15515,24.6536
2016-06,3902,16059,24.2979
2016-07,4396,16040,27.4065
2016-08,3946,17689,22.3076
2016-09,3621,17567,20.6125
2016-10,4333,17806,24.3345
2016-11,3277,15201,21.5578
2016-12,3177,15335,20.7173
2017-01,3980,21001,18.9515
2017-02,4144,18096,22.9001
2017-03,4705,19752,23.8204
2017-04,5718,18538,30.8448
2017-05,7108,19283,36.8615
2017-06,6920,18549,37.3066
2017-07,8184,20425,40.0685
2017-08,8788,21394,41.0769
2017-09,16090,27343,58.845
2017-10,8730,20447,42.6957
2017-11,7899,18985,41.6065
2017-12,7694,19027,40.4373
2018-01,9622,23641,40.7005
2018-02,9684,21965,44.0883
2018-03,9874,23628,41.7894
2018-04,10338,24316,42.5152
2018-05,9471,22327,42.4195
2018-06,8493,20103,42.2474
2018-07,9137,20952,43.6092
2018-08,9447,21715,43.5045
2018-09,8401,19068,44.0581
2018-10,9847,21890,44.984
2018-11,8927,19047,46.8683
2018-12,8362,18546,45.0879
2019-01,8512,18927,44.9728
2019-02,9362,20197,46.3534
2019-03,10999,23401,47.0023
2019-04,11057,22909,48.2649
2019-05,11918,23845,49.9811
2019-06,11740,23345,50.2891
2019-07,13002,25077,51.8483
2019-08,13518,26053,51.8865
2019-09,12089,23565,51.3007
2019-10,13212,25627,51.555
2019-11,11845,22643,52.312
2019-12,11305,21698,52.1016
2020-01,14847,26400,56.2386
2020-02,13601,25085,54.2197
2020-03,17220,29484,58.4046
2020-04,20811,34798,59.8052
2020-05,23520,36991,63.583
2020-06,23459,37897,61.902
2020-07,25554,40652,62.8604
2020-08,25267,39190,64.4731
2020-09,25970,39882,65.1171
2020-10,29976,43979,68.1598
2020-11,28907,41543,69.5833
2020-12,34600,48383,71.5127
2021-01,28088,42483,66.1159
2021-02,18374,33271,55.2253
2021-03,22527,41174,54.7117
2021-04,23375,39670,58.9236
2021-05,25409,41312,61.5051
2021-06,29670,45734,64.8751
2021-07,28730,45077,63.7354
2021-08,27222,42589,63.9179
2021-09,25211,40375,62.4421
2021-10,23706,39299,60.3221
2021-11,23940,39072,61.2715
2021-12,31294,45929,68.1356
2022-01,37129,53231,69.7507
2022-02,36535,53194,68.6826
2022-03,43574,61903,70.3908
2022-04,54426,72247,75.3332
2022-05,45968,60386,76.1236
2022-06,47278,61885,76.3965
2022-07,49221,64455,76.3649
2022-08,51934,69262,74.982
2022-09,49132,65786,74.6846
2022-10,59077,75793,77.9452
2022-11,61772,77041,80.1807
2022-12,68156,85150,80.0423
2023-01,70513,93935,75.0657
2023-02,67892,86540,78.4516
2023-03,89919,110643,81.2695
2023-04,79744,97087,82.1366
2023-05,86985,106216,81.8944
2023-06,85440,104427,81.8179
2023-07,87024,106776,81.5015
2023-08,98046,119712,81.9016
2023-09,92522,112887,81.9598
2023-10,94890,117430,80.8056
2023-11,92179,113370,81.3081
2023-12,101737,123071,82.6653
2024-01,119515,143378,83.3566
2024-02,132994,157626,84.3731
2024-03,148069,178262,83.0626
2024-04,160895,191598,83.9753
2024-05,181672,212246,85.595
2024-06,178153,204773,87.0002
2024-07,204055,233175,87.5115
2024-08,230974,264069,87.4673
2024-09,231212,265131,87.2067
2024-10,259166,295981,87.5617
2024-11,253878,287246,88.3835
2024-12,268106,304183,88.1397
2025-01,365877,475806,76.8963
2025-02,293834,335249,87.6465
2025-03,354021,396989,89.1765
2025-04,364052,406139,89.6373
2025-05,370390,415220,89.2033
2025-06,368119,412205,89.3048
2025-07,423145,473234,89.4156
2025-08,445610,495625,89.9087
2025-09,452680,503919,89.8319
2025-10,508545,560060,90.8019
2025-11,491420,541117,90.8158
2025-12,520582,579003,89.9101
2026-01,555317,617103,89.9877
2026-02,364386,388248,93.8539
