month,credit_reporting_complaint_count,total_complaint_count,credit_reporting_share_pct
2012-10,191,4223,4.5229
2012-11,459,3837,11.9625
2012-12,430,3989,10.7796
2013-01,569,6041,9.419
2013-02,653,5208,12.5384
2013-03,643,5489,11.7143
2013-04,706,5231,13.4965
2013-05,726,4989,14.552
2013-06,632,4833,13.0768
2013-07,678,5660,11.9788
2013-08,674,5865,11.4919
2013-09,748,5787,12.9255
2013-10,636,5460,11.6484
2013-11,726,5706,12.7234
2013-12,721,5706,12.6358
2014-01,1245,7451,16.7092
2014-02,1360,7867,17.2874
2014-03,1474,8473,17.3964
2014-04,1318,8371,15.7448
2014-05,1275,7279,17.5161
2014-06,1247,7245,17.2119
2014-07,1437,7845,18.3174
2014-08,1422,7647,18.5955
2014-09,1361,7387,18.4243
2014-10,1226,7619,16.0914
2014-11,1129,6479,17.4255
2014-12,1110,6763,16.4128
2015-01,1362,7421,18.3533
2015-02,1380,7620,18.1102
2015-03,1545,8630,17.9027
2015-04,1486,8104,18.3366
2015-05,1527,8057,18.9525
2015-06,1488,8565,17.373
2015-07,2047,9308,21.9918
2015-08,1972,9396,20.9877
2015-09,1622,8565,18.9375
2015-10,1574,8815,17.8559
2015-11,1609,7714,20.8582
2015-12,1384,7587,18.2417
2016-01,1456,8125,17.92
2016-02,1525,8296,18.3824
2016-03,2118,9721,21.7879
2016-04,1966,9228,21.3047
2016-05,2027,9117,22.2332
2016-06,1975,9307,21.2206
2016-07,2393,9431,25.3738
2016-08,2042,10294,19.8368
2016-09,1997,10333,19.3264
2016-10,2247,10406,21.5933
2016-11,1679,8995,18.6659
2016-12,1621,8765,18.494
2017-01,2057,12253,16.7877
2017-02,2020,10358,19.5018
2017-03,2438,11363,21.4556
2017-04,2661,9982,26.658
2017-05,3384,10319,32.7939
2017-06,3293,9918,33.2023
2017-07,3682,10672,34.5015
2017-08,4339,11529,37.6355
2017-09,9871,16412,60.145
2017-10,4276,10936,39.1002
2017-11,3720,9945,37.4057
2017-12,3745,10122,36.9986
2018-01,4749,12501,37.989
2018-02,4932,11761,41.9352
2018-03,5217,13000,40.1308
2018-04,5170,13164,39.2738
2018-05,4944,12164,40.6445
2018-06,4362,10716,40.7055
2018-07,4340,10868,39.9338
2018-08,4635,11533,40.189
2018-09,3909,9811,39.843
2018-10,4859,11585,41.9422
2018-11,4500,10034,44.8475
2018-12,4174,9983,41.8111
2019-01,4112,9891,41.5731
2019-02,4606,10471,43.9882
2019-03,5470,12380,44.1842
2019-04,5209,11816,44.0843
2019-05,5896,12380,47.6252
2019-06,5654,12097,46.7389
2019-07,6215,12864,48.3131
2019-08,6780,13967,48.543
2019-09,5816,12089,48.1099
2019-10,6537,13559,48.2115
2019-11,5689,11628,48.925
2019-12,5491,11418,48.0907
2020-01,7210,13661,52.778
2020-02,6726,13025,51.6392
2020-03,8244,14874,55.4256
2020-04,9100,16602,54.8127
2020-05,10253,17528,58.495
2020-06,9586,17280,55.4745
2020-07,10230,18304,55.8894
2020-08,10881,18540,58.6893
2020-09,11274,18839,59.8439
2020-10,12922,20908,61.8041
2020-11,13035,20297,64.2213
2020-12,16893,24749,68.2573
2021-01,13259,21367,62.0536
2021-02,9263,17672,52.4163
2021-03,11298,21516,52.5098
2021-04,10718,19647,54.5529
2021-05,11362,20027,56.7334
2021-06,13708,22228,61.67
2021-07,13328,22142,60.1933
2021-08,12453,20739,60.0463
2021-09,11445,19690,58.126
2021-10,11076,19769,56.0271
2021-11,11177,19552,57.1655
2021-12,14131,22202,63.6474
2022-01,16528,25556,64.6737
2022-02,17051,26379,64.6385
2022-03,19546,29607,66.0182
2022-04,23395,33182,70.5051
2022-05,19855,27661,71.7798
2022-06,21483,29537,72.7325
2022-07,21904,30402,72.0479
2022-08,23585,33397,70.6201
2022-09,22849,32253,70.843
2022-10,27186,36514,74.4536
2022-11,27590,36006,76.6261
2022-12,31185,40649,76.7178
2023-01,32826,45369,72.3534
2023-02,31146,41568,74.9278
2023-03,41709,53254,78.3209
2023-04,36400,46025,79.0875
2023-05,39270,49849,78.7779
2023-06,37679,48130,78.2859
2023-07,38033,48849,77.8583
2023-08,44278,56230,78.7444
2023-09,42316,53635,78.8962
2023-10,43822,56689,77.3025
2023-11,41949,54172,77.4367
2023-12,47459,59649,79.5638
2024-01,56183,69788,80.5052
2024-02,62513,76511,81.7046
2024-03,68974,85423,80.7441
2024-04,74297,90302,82.2761
2024-05,83639,99220,84.2965
2024-06,80792,94408,85.5775
2024-07,94549,109322,86.4867
2024-08,106879,123406,86.6076
2024-09,104788,121460,86.2737
2024-10,115990,133877,86.6392
2024-11,114484,130706,87.5889
2024-12,118951,136717,87.0053
2025-01,157683,208435,75.6509
2025-02,128879,149223,86.3667
2025-03,152474,173784,87.7377
2025-04,154282,173971,88.6826
2025-05,154211,175137,88.0516
2025-06,149586,169916,88.0353
2025-07,172362,195163,88.3169
2025-08,181023,203887,88.7859
2025-09,182454,206526,88.3443
2025-10,199278,224333,88.8313
2025-11,194473,218307,89.0823
2025-12,207836,236855,87.7482
2026-01,222665,251896,88.3956
2026-02,146412,157390,93.025
2011-12,0,1639,0.0
2012-01,0,2084,0.0
2012-02,0,2280,0.0
2012-03,0,4070,0.0
2012-04,0,3592,0.0
2012-05,0,4890,0.0
2012-06,0,4767,0.0
2012-07,0,4418,0.0
2012-08,0,4392,0.0
2012-09,0,3441,0.0
