month,credit_card_complaint_count,total_complaint_count,credit_card_share_pct
2012-01,756,2093,36.1204
2012-02,796,2286,34.8206
2012-03,908,4093,22.1842
2012-04,753,3639,20.6925
2012-05,1012,5006,20.2157
2012-06,1097,4837,22.6793
2012-07,1026,4513,22.7343
2012-08,836,4453,18.7739
2012-09,627,3496,17.9348
2012-10,862,4267,20.2015
2012-11,689,3875,17.7806
2012-12,662,4040,16.3861
2013-01,774,6152,12.5813
2013-02,786,5305,14.8162
2013-03,847,5578,15.1847
2013-04,771,5326,14.4762
2013-05,660,5087,12.9742
2013-06,654,4914,13.3089
2013-07,661,5738,11.5197
2013-08,710,5935,11.9629
2013-09,717,5850,12.2564
2013-10,638,5547,11.5017
2013-11,644,5794,11.1149
2013-12,656,5802,11.3064
2014-01,776,7513,10.3288
2014-02,802,7929,10.1148
2014-03,835,8525,9.7947
2014-04,890,8433,10.5538
2014-05,705,7371,9.5645
2014-06,688,7343,9.3695
2014-07,726,7938,9.1459
2014-08,772,7738,9.9767
2014-09,784,7475,10.4883
2014-10,740,7725,9.5793
2014-11,682,6587,10.3537
2014-12,691,6850,10.0876
2015-01,801,7488,10.6971
2015-02,871,7684,11.3352
2015-03,987,8738,11.2955
2015-04,892,8221,10.8503
2015-05,931,8148,11.4261
2015-06,909,8648,10.5111
2015-07,1001,9400,10.6489
2015-08,971,9503,10.2178
2015-09,996,8658,11.5038
2015-10,976,8912,10.9515
2015-11,954,7816,12.2057
2015-12,937,7710,12.153
2016-01,1048,8221,12.7478
2016-02,1036,8381,12.3613
2016-03,1017,9872,10.3019
2016-04,1059,9354,11.3214
2016-05,1031,9225,11.1762
2016-06,1014,9401,10.7861
2016-07,1134,9525,11.9055
2016-08,1284,10420,12.3225
2016-09,1437,10443,13.7604
2016-10,1360,10524,12.9228
2016-11,1153,9109,12.6578
2016-12,1182,8870,13.3258
2017-01,1240,12372,10.0226
2017-02,1190,10476,11.3593
2017-03,1377,11519,11.9542
2017-04,1142,10124,11.2801
2017-05,1267,10540,12.0209
2017-06,1155,10203,11.3202
2017-07,1163,11027,10.5468
2017-08,1203,11901,10.1084
2017-09,1223,16890,7.241
2017-10,1244,11513,10.8052
2017-11,1184,10497,11.2794
2017-12,1245,10718,11.616
2018-01,1434,13144,10.9099
2018-02,1251,12298,10.1724
2018-03,1442,13641,10.5711
2018-04,1530,13741,11.1346
2018-05,1437,12744,11.2759
2018-06,1247,11321,11.0149
2018-07,1289,11479,11.2292
2018-08,1399,12239,11.4307
2018-09,1198,10392,11.5281
2018-10,1391,12360,11.254
2018-11,1176,10685,11.0061
2018-12,1207,10561,11.4288
2019-01,1252,10430,12.0038
2019-02,1245,11200,11.1161
2019-03,1472,13106,11.2315
2019-04,1385,12605,10.9877
2019-05,1362,13188,10.3276
2019-06,1440,12735,11.3074
2019-07,1518,13601,11.1609
2019-08,1547,14650,10.5597
2019-09,1429,12662,11.2857
2019-10,1577,14194,11.1103
2019-11,1426,12137,11.7492
2019-12,1420,11947,11.8858
2020-01,1564,14240,10.9831
2020-02,1441,13642,10.563
2020-03,1579,15464,10.2108
2020-04,2069,17296,11.9623
2020-05,2028,18165,11.1643
2020-06,2045,18062,11.3221
2020-07,1984,19126,10.3733
2020-08,1909,19264,9.9097
2020-09,1895,19578,9.6792
2020-10,1928,21599,8.9263
2020-11,1839,20842,8.8235
2020-12,2025,25414,7.968
2021-01,1929,21946,8.7898
2021-02,1880,18323,10.2603
2021-03,2043,22346,9.1426
2021-04,1679,20406,8.228
2021-05,1483,20695,7.166
2021-06,1501,22917,6.5497
2021-07,1648,22479,7.3313
2021-08,1619,21059,7.6879
2021-09,1704,20009,8.5162
2021-10,1811,20002,9.0541
2021-11,1669,19747,8.4519
2021-12,1766,22391,7.8871
2022-01,1970,25770,7.6445
2022-02,2016,26525,7.6004
2022-03,2117,29871,7.0871
2022-04,2018,33429,6.0367
2022-05,1666,27966,5.9572
2022-06,1941,29641,6.5484
2022-07,2092,30540,6.85
2022-08,2312,33484,6.9048
2022-09,2164,32306,6.6984
2022-10,2147,36562,5.8722
2022-11,2036,36168,5.6293
2022-12,2391,40867,5.8507
2023-01,2688,45691,5.883
2023-02,2551,41948,6.0813
2023-03,2841,53374,5.3228
2023-04,2396,46099,5.1975
2023-05,2667,50098,5.3236
2023-06,2868,48399,5.9257
2023-07,3175,49356,6.4329
2023-08,3494,56922,6.1382
2023-09,2966,53857,5.5072
2023-10,3683,56981,6.4636
2023-11,3191,54436,5.8619
2023-12,2914,59863,4.8678
2024-01,3225,70057,4.6034
2024-02,3127,76903,4.0662
2024-03,3506,85889,4.082
2024-04,3844,90811,4.233
2024-05,3730,99689,3.7416
2024-06,3000,94870,3.1622
2024-07,3304,109810,3.0088
2024-08,3899,123968,3.1452
2024-09,3768,121986,3.0889
2024-10,3757,134471,2.7939
2024-11,3329,131278,2.5358
2024-12,3679,137421,2.6772
2025-01,4603,209406,2.1981
2025-02,3535,149983,2.3569
2025-03,3623,174705,2.0738
2025-04,3776,174644,2.1621
2025-05,4112,175888,2.3379
2025-06,3951,170479,2.3176
2025-07,4214,195837,2.1518
2025-08,4130,204557,2.019
2025-09,4514,207083,2.1798
2025-10,4018,224962,1.7861
2025-11,4094,218929,1.87
2025-12,4794,237551,2.0181
