month,credit_reporting_complaint_count,total_complaint_count,credit_reporting_share_pct
2012-10,167,2474,6.7502
2012-11,323,2264,14.2668
2012-12,299,2198,13.6033
2013-01,338,3589,9.4177
2013-02,407,3044,13.3706
2013-03,451,3206,14.0674
2013-04,443,3306,13.3999
2013-05,476,3083,15.4395
2013-06,477,3121,15.2836
2013-07,569,3532,16.1099
2013-08,572,3630,15.7576
2013-09,697,3786,18.4099
2013-10,646,3694,17.4878
2013-11,568,3524,16.118
2013-12,569,3672,15.4956
2014-01,1109,5104,21.7281
2014-02,1170,5119,22.856
2014-03,1111,5417,20.5095
2014-04,1224,5405,22.6457
2014-05,1020,4792,21.2855
2014-06,1201,5169,23.2347
2014-07,1216,5468,22.2385
2014-08,1239,5444,22.759
2014-09,1107,4986,22.2022
2014-10,1027,5172,19.8569
2014-11,1046,4668,22.4079
2014-12,1073,4830,22.2153
2015-01,1313,5137,25.5597
2015-02,997,4995,19.96
2015-03,1275,5770,22.0971
2015-04,1193,5526,21.5889
2015-05,1125,5530,20.3436
2015-06,1216,5867,20.7261
2015-07,1633,6514,25.0691
2015-08,1448,6260,23.131
2015-09,1262,5673,22.2457
2015-10,1230,5979,20.572
2015-11,1211,5078,23.848
2015-12,1273,5174,24.6038
2016-01,1285,5615,22.8851
2016-02,1504,5758,26.1202
2016-03,1894,6738,28.1092
2016-04,1769,6250,28.304
2016-05,1778,6290,28.2671
2016-06,1912,6658,28.7173
2016-07,1983,6515,30.4375
2016-08,1893,7269,26.0421
2016-09,1611,7124,22.6137
2016-10,2078,7282,28.5361
2016-11,1591,6092,26.1162
2016-12,1551,6465,23.9907
2017-01,1912,8629,22.1578
2017-02,2110,7620,27.6903
2017-03,2260,8233,27.4505
2017-04,3045,8414,36.1897
2017-05,3677,8743,42.0565
2017-06,3569,8346,42.763
2017-07,4424,9398,47.0738
2017-08,4391,9493,46.2551
2017-09,6024,10453,57.6294
2017-10,4289,8934,48.0076
2017-11,4069,8488,47.9383
2017-12,3824,8309,46.0224
2018-01,4775,10497,45.4892
2018-02,4641,9667,48.0087
2018-03,4494,9987,44.9985
2018-04,5041,10575,47.669
2018-05,4404,9583,45.9564
2018-06,3987,8782,45.3997
2018-07,4657,9473,49.1608
2018-08,4634,9476,48.9025
2018-09,4326,8676,49.8617
2018-10,4767,9530,50.021
2018-11,4270,8362,51.0643
2018-12,4032,7985,50.4947
2019-01,4291,8497,50.5002
2019-02,4634,8997,51.5061
2019-03,5348,10295,51.9475
2019-04,5581,10304,54.1634
2019-05,5663,10657,53.1388
2019-06,5933,10610,55.9189
2019-07,6594,11476,57.459
2019-08,6587,11403,57.7655
2019-09,6168,10903,56.5716
2019-10,6558,11433,57.3603
2019-11,6061,10506,57.6908
2019-12,5691,9751,58.3632
2020-01,7517,12160,61.8174
2020-02,6732,11443,58.8307
2020-03,8854,14020,63.1526
2020-04,11577,17502,66.1467
2020-05,13132,18826,69.7546
2020-06,13711,19835,69.1253
2020-07,15123,21526,70.2546
2020-08,14229,19926,71.4092
2020-09,14518,20304,71.5032
2020-10,16874,22380,75.3977
2020-11,15784,20701,76.2475
2020-12,17600,22969,76.625
2021-01,14743,20537,71.7875
2021-02,9030,14948,60.4094
2021-03,11164,18828,59.2947
2021-04,12608,19264,65.4485
2021-05,13996,20617,67.8857
2021-06,15906,22817,69.7112
2021-07,15352,22598,67.9352
2021-08,14733,21530,68.4301
2021-09,13715,20366,67.3426
2021-10,12532,19297,64.9427
2021-11,12680,19325,65.6145
2021-12,17079,23538,72.5593
2022-01,20490,27461,74.6149
2022-02,19428,26669,72.8486
2022-03,23889,32032,74.5785
2022-04,30918,38818,79.6486
2022-05,26049,32420,80.3486
2022-06,25769,32244,79.9187
2022-07,27288,33915,80.46
2022-08,28341,35778,79.2135
2022-09,26258,33480,78.4289
2022-10,31867,39231,81.2291
2022-11,34136,40873,83.5172
2022-12,36893,44283,83.3119
2023-01,37595,48244,77.9268
2023-02,36520,44592,81.8981
2023-03,48172,57269,84.1153
2023-04,43320,50988,84.9612
2023-05,47589,56118,84.8017
2023-06,47608,56028,84.9718
2023-07,48636,57420,84.7022
2023-08,53267,62790,84.8336
2023-09,50108,59030,84.8857
2023-10,50947,60449,84.281
2023-11,50132,58934,85.0646
2023-12,54200,63208,85.7486
2024-01,63188,73321,86.1799
2024-02,70217,80723,86.9851
2024-03,78779,92373,85.2836
2024-04,86237,100787,85.5636
2024-05,97711,112557,86.8102
2024-06,97049,109903,88.3042
2024-07,109223,123365,88.5365
2024-08,123691,140101,88.287
2024-09,126079,143145,88.0778
2024-10,142794,161510,88.4119
2024-11,139033,155968,89.142
2024-12,148629,166762,89.1264
2025-01,207506,266400,77.8926
2025-02,164389,185266,88.7313
2025-03,200907,222284,90.383
2025-04,209412,231495,90.4607
2025-05,215728,239332,90.1375
2025-06,218207,241726,90.2704
2025-07,250411,277397,90.2717
2025-08,264166,291068,90.7575
2025-09,269915,296836,90.9307
2025-10,308873,335098,92.1739
2025-11,296566,322188,92.0475
2025-12,312347,341452,91.4761
2026-01,332307,364544,91.1569
2026-02,217688,230464,94.4564
2011-12,0,882,0.0
2012-01,0,1137,0.0
2012-02,0,1223,0.0
2012-03,0,2137,0.0
2012-04,0,2064,0.0
2012-05,0,2610,0.0
2012-06,0,3004,0.0
2012-07,0,2242,0.0
2012-08,0,2424,0.0
2012-09,0,1997,0.0
