ModelFamily,Params,Val_sMAPE_macro
RF,"n=300,depth=6,leaf=1",6.241
RF,"n=500,depth=6,leaf=1",6.303
RF,"n=300,depth=4,leaf=1",6.306
RF,"n=300,depth=8,leaf=1",6.311
RF,"n=500,depth=8,leaf=1",6.385
RF,"n=500,depth=4,leaf=1",6.39
RF,"n=300,depth=6,leaf=2",6.466
RF,"n=300,depth=8,leaf=2",6.492
RF,"n=500,depth=8,leaf=2",6.497
RF,"n=500,depth=6,leaf=2",6.512
RF,"n=500,depth=4,leaf=2",6.519
RF,"n=300,depth=4,leaf=2",6.531
XGB,"round=100,eta=0.05,depth=6",4.98
XGB,"round=100,eta=0.05,depth=4",5.154
XGB,"round=200,eta=0.05,depth=6",5.162
XGB,"round=300,eta=0.05,depth=6",5.162
XGB,"round=100,eta=0.1,depth=4",5.245
XGB,"round=200,eta=0.1,depth=4",5.257
XGB,"round=300,eta=0.1,depth=4",5.257
XGB,"round=200,eta=0.05,depth=4",5.347
XGB,"round=300,eta=0.05,depth=4",5.355
XGB,"round=100,eta=0.1,depth=6",5.436
XGB,"round=200,eta=0.1,depth=6",5.437
XGB,"round=300,eta=0.1,depth=6",5.437
