Model,sMAPE_val,MAE_val,RMSE_val,sMAPE_test,MAE_test,RMSE_test,runtime_sec,Family
"SARIMA(1,1,0)(1,1,0,4)",27.987,1008.652,1118.895,28.579,1660.172,1849.205,0.62,03a-baseline
ETS Holt-Winters,19.59,631.89,700.859,29.846,1754.117,1991.362,0.179,03a-baseline
"ARIMA(1,1,1)",11.195,348.225,446.428,39.695,2228.826,2489.705,0.193,03a-baseline
Moving Average,14.43,448.485,604.313,42.196,2348.971,2676.209,0.0,03a-baseline
Seasonal Naive,18.1,544.5,686.823,42.279,2345.029,2685.595,0.0,03a-baseline
ETS SES,14.445,448.439,568.014,45.99,2512.315,2825.733,0.015,03a-baseline
Theta,12.4,385.441,494.178,49.519,2652.093,2921.44,0.024,03a-baseline
Naive,14.431,448.059,569.388,50.14,2684.971,2986.609,0.0,03a-baseline
FFT,19.266,576.15,787.631,52.764,2792.773,3117.815,0.001,03a-baseline
RF-GridBest (h=1),13.722,349.371,366.86,55.605,2464.911,3033.081,2.643,tree-h1
XGB-GridBest (h=1),15.823,408.554,437.205,56.958,2506.435,3074.767,0.394,tree-h1
XGB-Multi (h=1),16.012,414.361,448.511,59.004,2568.708,3135.79,0.606,tree-h1
