ModelFamily,Params,Val_sMAPE_macro
RF,"n=300,depth=6,leaf=1",33.588
RF,"n=300,depth=4,leaf=1",33.828
RF,"n=300,depth=8,leaf=1",33.889
RF,"n=500,depth=6,leaf=1",33.949
RF,"n=500,depth=4,leaf=1",34.081
RF,"n=500,depth=8,leaf=1",34.192
RF,"n=300,depth=4,leaf=2",37.408
RF,"n=300,depth=6,leaf=2",37.462
RF,"n=300,depth=8,leaf=2",37.476
RF,"n=500,depth=4,leaf=2",37.674
RF,"n=500,depth=6,leaf=2",37.71
RF,"n=500,depth=8,leaf=2",37.713
XGB,"round=300,eta=0.1,depth=4",45.458
XGB,"round=200,eta=0.1,depth=4",45.458
XGB,"round=300,eta=0.1,depth=6",45.527
XGB,"round=200,eta=0.1,depth=6",45.528
XGB,"round=100,eta=0.1,depth=4",45.528
XGB,"round=100,eta=0.1,depth=6",45.637
XGB,"round=300,eta=0.05,depth=4",47.221
XGB,"round=200,eta=0.05,depth=4",47.292
XGB,"round=300,eta=0.05,depth=6",47.727
XGB,"round=200,eta=0.05,depth=6",47.8
XGB,"round=100,eta=0.05,depth=4",48.4
XGB,"round=100,eta=0.05,depth=6",48.835
