Model,sMAPE_val,MAE_val,RMSE_val,sMAPE_test,MAE_test,RMSE_test,runtime_sec,Family
"SARIMA(1,1,0)(1,1,0,4)",33.698,3786.22,4141.717,16.821,3025.673,3293.615,0.119,03a-baseline
ETS Holt-Winters,18.172,1735.645,1973.33,23.178,4150.809,4627.212,0.078,03a-baseline
"ARIMA(1,1,1)",12.946,1188.684,1418.877,31.541,5426.415,6080.764,0.102,03a-baseline
Theta,12.077,1122.804,1412.082,36.857,6176.469,6943.308,0.017,03a-baseline
Naive,13.489,1252.909,1597.311,37.8,6313.364,7142.236,0.0,03a-baseline
ETS SES,13.473,1251.518,1597.878,39.344,6519.315,7350.048,0.007,03a-baseline
FFT,18.28,1631.472,2189.309,52.586,8171.522,8944.35,0.001,03a-baseline
Moving Average,22.845,1978.75,2529.634,54.041,8338.341,9002.759,0.0,03a-baseline
Seasonal Naive,29.909,2470.091,2947.698,56.209,8525.091,9204.867,0.0,03a-baseline
RF-GridBest (h=1),35.32,3994.908,4422.559,69.22,9726.318,9924.844,2.021,tree-h1
XGB-Multi (h=1),36.484,4097.714,4514.428,69.958,9790.757,9961.617,0.38,tree-h1
XGB-GridBest (h=1),36.171,4072.024,4522.93,70.305,9824.855,9992.617,0.417,tree-h1
