ModelFamily,Params,Val_sMAPE_macro
RF,"n=500,depth=6,leaf=1",51.892
RF,"n=500,depth=4,leaf=1",51.947
RF,"n=500,depth=8,leaf=1",52.03
RF,"n=300,depth=6,leaf=1",52.095
RF,"n=300,depth=8,leaf=1",52.18
RF,"n=300,depth=4,leaf=1",52.386
RF,"n=300,depth=6,leaf=2",59.753
RF,"n=300,depth=8,leaf=2",59.753
RF,"n=300,depth=4,leaf=2",59.775
RF,"n=500,depth=4,leaf=2",60.004
RF,"n=500,depth=6,leaf=2",60.009
RF,"n=500,depth=8,leaf=2",60.009
XGB,"round=300,eta=0.1,depth=6",42.985
XGB,"round=300,eta=0.1,depth=4",42.985
XGB,"round=200,eta=0.1,depth=4",42.987
XGB,"round=200,eta=0.1,depth=6",42.987
XGB,"round=300,eta=0.05,depth=6",43.014
XGB,"round=300,eta=0.05,depth=4",43.014
XGB,"round=100,eta=0.1,depth=4",43.333
XGB,"round=100,eta=0.1,depth=6",43.333
XGB,"round=200,eta=0.05,depth=6",43.359
XGB,"round=200,eta=0.05,depth=4",43.359
XGB,"round=100,eta=0.05,depth=6",47.779
XGB,"round=100,eta=0.05,depth=4",47.784
