Model,sMAPE_val,MAE_val,RMSE_val,sMAPE_test,MAE_test,RMSE_test,runtime_sec,Family
ETS Holt-Winters,31.936,40498.235,46249.166,51.76,386621.007,508033.338,0.075,03a-baseline
"SARIMA(1,1,0)(1,1,0,4)",25.904,31075.544,34169.949,56.01,405236.895,525165.427,0.057,03a-baseline
"ARIMA(1,1,1)",28.398,37957.029,45625.255,58.337,420745.597,550780.463,0.11,03a-baseline
Naive,43.815,59037.7,77959.728,85.353,532900.4,673350.33,0.0,03a-baseline
ETS SES,43.827,59053.947,78007.956,85.39,533020.717,673445.554,0.01,03a-baseline
Theta,40.797,55646.162,72690.564,85.609,532248.536,670355.32,0.024,03a-baseline
Moving Average,53.98,68709.1,92792.08,100.523,579877.4,711108.732,0.0,03a-baseline
XGB-GridBest (h=1),26.868,76057.156,94749.334,102.741,512649.656,543111.417,1.084,tree-h1
XGB-Multi (h=1),26.87,76062.734,94753.811,102.743,512655.234,543116.682,0.384,tree-h1
Seasonal Naive,62.344,73964.6,96982.575,103.875,586886.0,717806.262,0.0,03a-baseline
FFT,56.086,70053.885,92281.726,108.167,601846.555,729499.652,0.001,03a-baseline
RF-GridBest (h=1),39.062,102969.318,116685.942,111.484,538982.794,567627.667,2.285,tree-h1
